Attributes,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Symbols,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA
Date,,,,,,,,,,,,,,,,,,
2018-01-02,41.018428802490234,53.660499572753906,21.368667602539062,43.064998626708984,53.660499572753906,21.368667602539062,43.07500076293945,53.79899978637695,21.474000930786133,42.314998626708984,52.6510009765625,20.733333587646484,42.540000915527344,52.6510009765625,20.799999237060547,102223600,31766000,65283000
2018-01-03,41.01128005981445,54.57600021362305,21.149999618530273,43.057498931884766,54.57600021362305,21.149999618530273,43.63750076293945,54.80500030517578,21.683332443237305,42.9900016784668,53.67150115966797,21.036666870117188,43.13249969482422,53.69649887084961,21.399999618530273,118071600,31318000,67822500
2018-01-04,41.201786041259766,54.78799819946289,20.974666595458984,43.25749969482422,54.78799819946289,20.974666595458984,43.36750030517578,55.20399856567383,21.23666763305664,43.02000045776367,54.7130012512207,20.3786678314209,43.1349983215332,54.85449981689453,20.857999801635742,89738400,26052000,149194500
2018-01-05,41.67087936401367,55.51449966430664,21.10533332824707,43.75,55.51449966430664,21.10533332824707,43.842498779296875,55.67900085449219,21.14933204650879,43.26250076293945,55.09000015258789,20.799999237060547,43.36000061035156,55.17250061035156,21.107999801635742,94640000,30250000,68868000
2018-01-08,41.5161018371582,55.71049880981445,22.42733383178711,43.587501525878906,55.71049880981445,22.42733383178711,43.90250015258789,55.95800018310547,22.468000411987305,43.48249816894531,55.5,21.03333282470703,43.587501525878906,55.54999923706055,21.066667556762695,82271200,24644000,147891000
2018-01-09,41.51133728027344,55.63949966430664,22.246000289916992,43.58250045776367,55.63949966430664,22.246000289916992,43.76499938964844,55.922000885009766,22.586666107177734,43.352500915527344,55.40999984741211,21.82666778564453,43.63750076293945,55.922000885009766,22.3439998626709,86336000,26808000,107199000
2018-01-10,41.501800537109375,55.50699996948242,22.31999969482422,43.5724983215332,55.50699996948242,22.31999969482422,43.57500076293945,55.638999938964844,22.46666717529297,43.25,55.19900131225586,22.0,43.290000915527344,55.349998474121094,22.14666748046875,95839600,20734000,64648500
2018-01-11,41.737548828125,55.602500915527344,22.530000686645508,43.81999969482422,55.602500915527344,22.530000686645508,43.872501373291016,55.74250030517578,22.987333297729492,43.622501373291016,55.32400131225586,22.21733283996582,43.647499084472656,55.615501403808594,22.349332809448242,74670800,22424000,99682500
